SampleID,Customer Name,UnitID,UnitMake,UnitModel,UnitDescription,FleetID,ComponentID,ComponentMake,ComponentModel,ComponentLocation,GearType,ComponentDescription,SampleTakenDate,AnalysisDate,UserID,AnalysisModeID,SystemType,UnitTimeHours,UnitTimeMilesORKilometers,UnitTimeReference,UnitTimeUnits,OilCapacityUnits,OilCapacity,UnitTimeOnOil,OilWeight,OilChemistry,OilBrand,OilType,RuleSet,OSAID,OilChanged,Turbo,EngineSize,SampleDescription,OpertorName,Comment,ResultStatement,DiagnosticResultCodes,SystemResultCode,Particle,SampleStatus,SampleRunMethd,RemoteSampleID,TestObjects,ReportType,Iron,IronStatus,Chromium,ChromiumStatus,Lead,LeadStatus,Copper,CopperStatus,Molybdenum,MolyStatus,Titanium,TitaniumStatus,Manganese,ManganeseStatus,Vanadium,VanadiumStatus,Silicon,SiliconStatus,Boron,BoronStatus,Magnesium,MagnesiumStatus,Calcium,CalciumStatus,Zinc,ZincStatus,Sodium,SodiumStatus,Potassium,PotassiumStatus,Water,WaterStatus,Water_External,WaterStatus_External,Oxidation,OxidationStatus,V100C,V100CStatus,Glycol,GlycolStatus,Fuel,FuelStatus,Fuel_External,FuelStatus_External,TBN,TBNStatus,TBN_External,TBNStatus_External,Soot,SootStatus,V40C,V40CStatus,VIndex,VIndexStatus,Barium,BariumStatus,Phosphorus,PhosphorusStatus,Nitration,NitrationStatus,Aluminum,AluminumStatus,TAN,TANStatus,Total_Ferrous,Total_FerrousStatus,Tin,TinStatus,Sulfation,SulfationStatus,Nickel,NickelStatus,Particle1,Particle1Status,Particle2,Particle2Status,Particle3,Particle3Status,ParticleCount,ParticleCountStatus,Moisture,MoistureStatus
104964,PT. SIMS JAYA KALTIM SIMS,HD1138,KOMATSU,785-7,HD,0,3258_HD1138,KOMATSU,DIFFERENTIAL,REAR,DIFFERENTIAL,DIFFERENTIAL,02/25/2026 00:00:00,02/27/2026 06:53:02,1,Off-Road,OGB,1914,0,0,H,L,137,758,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad GearBox,ML4240-22-0006,False,False,0,PM1000 / 59008,AJI,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|DIFFERENTIAL WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;TD;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,60,N,<2,N,<2,N,<2,N,<2,N,0,N,1,N,0,N,8,N,0,N,15,N,3814,N,1251,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.1,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,949,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104965,PT. SIMS JAYA KALTIM SIMS,HD1154,CATERPILLAR,777D,OHT,0,4008_LH_HD1154,CATERPILLAR,FINAL DRIVE,LEFT-REAR,FINAL DRIVE,FINAL DRIVE LH,02/24/2026 00:00:00,02/27/2026 07:09:21,1,Off-Road,OGB,6756,0,0,H,L,42,976,SAE 60,Natural,CALTEX,FINAL DRIVE 60,Offroad GearBox,ML4240-22-0006,False,False,0,PM1000 / 53064,AJI,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|FINAL DRIVE WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;TE;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,59,N,<2,N,<2,N,11,N,<2,N,0,N,3,N,0,N,17,N,37,N,7,N,803,N,646,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,26.3,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,818,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,1,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104966,PT. SIMS JAYA KALTIM SIMS,HD1154,CATERPILLAR,777D,OHT,0,4008_LH_HD1154,CATERPILLAR,FINAL DRIVE,LEFT-REAR,FINAL DRIVE,FINAL DRIVE LH,02/24/2026 00:00:00,02/27/2026 07:27:46,1,Off-Road,OGB,6756,0,0,H,L,42,976,SAE 60,Natural,CALTEX,FINAL DRIVE 60,Offroad GearBox,ML4240-22-0006,False,False,0,PM1000 / 53064,DAVI,Unacceptable|Resample 1/2 normal inteval,|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;SP,900;Bearing/Gear;2;Inspect;Abnormal wear rate/levels detected.;Change automatic transmission fluid.;900;Clutch Disc Pack;1;Monitor;Elevated copper/lead level(s) detected.;Change automatic transmission fluid.;900;Oil Condition;2;Inspect;Abnormal wear rate/levels detected.;Change automatic transmission fluid.,False,NORMAL,NORMAL,,OES;IR;DTV,1,96,N,3,N,3,N,26,A,<2,N,0,N,3,N,0,N,18,N,69,N,5,N,673,N,153,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,26.4,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,642,N,<2.0,N,<2,N,<0.0,N,<0.0,N,4,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104967,PT. SIMS JAYA KALTIM SIMS,EX5141,CATERPILLAR,340D2,SMALL -EXCAVATOR,0,5050_EX5141,CATERPILLAR,HYDRAULIC,GENERAL,NA,HYDRAULIC,02/23/2026 00:00:00,02/27/2026 07:55:36,1,Off-Road,HC,6374,0,0,H,L,194,1627,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Hydraulic,ML4240-22-0006,False,False,0,PM500 / 27667,FALLEN,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|ANALYSIS INDICATES HYDRAULIC WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND HYDRAULIC SYSTEM.|VISCOSITY LOWER THAN TYPICAL FOR THE GIVEN OIL TYPE.,115;121;126;128,,False,NORMAL,NORMAL,,OES;IR;DTV,1,13,N,<2,N,<2,N,<2,N,<2,N,0,N,1,N,0,N,11,N,1,N,12,N,4076,N,1065,N,<2,N,<2,N,<0.1,N,<0.0,N,2.0,N,10.5,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,1102,N,<2.0,N,2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104968,PT. SIMS JAYA KALTIM SIMS,EX5141,CATERPILLAR,340D2,SMALL -EXCAVATOR,0,5459_EX5141,CATERPILLAR,DIFFERENTIAL,GENERAL,SWING DRIVE,SWING DRIVE,02/23/2026 00:00:00,02/27/2026 08:10:56,1,Off-Road,OGB,3915,0,0,H,L,19,1627,SAE 60,Natural,CALTEX,FINAL DRIVE 60,Offroad GearBox,ML4240-22-0006,False,False,0,PM500 / 27667,FALLEN,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,21,N,<2,N,<2,N,<2,N,<2,N,0,N,1,N,0,N,11,N,49,N,5,N,922,N,297,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,25.7,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,628,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104969,PT. SIMS JAYA KALTIM SIMS,EX276,KOMATSU,PC2000-8,EXCAVATOR,0,3030_EX276,KOMATSU,POWER TAKE OFF,GENERAL,NA,POWER TAKE OFF,02/26/2026 00:00:00,02/27/2026 08:32:08,1,Off-Road,OAT,19564,0,0,H,L,36,423,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad AutoTrans,ML4240-22-0006,True,False,0,PM500 / 61622,FALLEN,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|TRANSMISSION WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;TB;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,11,N,<2,N,<2,N,<2,N,<2,N,0,N,0,N,0,N,7,N,3,N,12,N,3625,N,1029,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.2,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,891,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104970,PT. SIMS JAYA KALTIM SIMS,EX276,KOMATSU,PC2000-8,EXCAVATOR,0,4008_LH_EX276,KOMATSU,FINAL DRIVE,LEFT-REAR,FINAL DRIVE,FINAL DRIVE LH,02/26/2026 00:00:00,02/27/2026 08:46:22,1,Off-Road,OGB,9753,0,0,H,L,43,586,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad GearBox,ML4240-22-0006,False,False,0,PM500 / 61622,AJI,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|FINAL DRIVE WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;TE;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,39,N,<2,N,<2,N,<2,N,<2,N,0,N,1,N,0,N,30,N,0,N,16,N,4154,N,1211,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.2,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,951,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104971,PT. SIMS JAYA KALTIM SIMS,EX276,KOMATSU,PC2000-8,EXCAVATOR,0,4008_RH_EX276,KOMATSU,FINAL DRIVE,RIGHT-REAR,FINAL DRIVE,FINAL DRIVE RH,02/26/2026 00:00:00,02/27/2026 09:00:34,1,Off-Road,OGB,24500,0,0,H,L,43,586,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad GearBox,ML4240-22-0006,False,False,0,PM500 / 61622,FALLEN,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|FINAL DRIVE WEAR RATES NORMAL.|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;TE;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,12,N,<2,N,<2,N,<2,N,<2,N,0,N,0,N,0,N,8,N,0,N,15,N,3651,N,1232,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.3,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,920,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104972,PT. SIMS JAYA KALTIM SIMS,EX276,KOMATSU,PC2000-8,EXCAVATOR,0,5459_FR_EX276,KOMATSU,SWING DRIVE,FRONT,SWING DRIVE,SWING DRIVE FRONT,02/26/2026 00:00:00,02/27/2026 09:14:36,1,Off-Road,OGB,8044,0,0,H,L,30,586,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad GearBox,ML4240-22-0006,False,False,0,PM500 / 61622,FALLEN,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,39,N,<2,N,<2,N,<2,N,<2,N,0,N,0,N,0,N,10,N,0,N,14,N,3665,N,1190,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.3,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,905,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
104973,PT. SIMS JAYA KALTIM SIMS,EX276,KOMATSU,PC2000-8,EXCAVATOR,0,5459_RR_EX276,KOMATSU,SWING DRIVE,REAR,SWING DRIVE,SWING DRIVE REAR,02/26/2026 00:00:00,02/27/2026 09:28:46,1,Off-Road,OGB,8044,0,0,H,L,30,586,SAE 30,Natural,CALTEX,DELO TORQFORCE SAE30,Offroad GearBox,ML4240-22-0006,False,False,0,PM500 / 61622,AJI,Acceptable|This component Has PASSED The Motorcheck Oil Analysis Test.,|SAMPLE APPEARS FREE OF EXTERNAL CONTAMINATION.|ANALYSIS INDICATES PROPER PERFORMANCE OF THE LUBRICANT AND UNIT.,18;SP,,False,NORMAL,NORMAL,,OES;IR;DTV,1,43,N,<2,N,<2,N,<2,N,<2,N,0,N,1,N,0,N,12,N,0,N,15,N,3633,N,1297,N,<2,N,<2,N,<0.1,N,<0.0,N,<2.0,N,11.2,N,-,ND,<2.0,N,<0.0,N,<3.0,N,<0.0,N,<0.1,N,X,N,X,N,0,N,1042,N,<2.0,N,<2,N,<0.0,N,<0.0,N,<2,N,0.0,N,0,N,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
